Code,Country Name,Population,Urban_Population
IND,India,1352617328,460295677
ITA,Italy,60431283,42566587
AFG,Afghanistan,37172386,9477100
ALB,Albania,2866376,1728969
DZA,Algeria,42228429,30670086
ASM,American Samoa,55465,48339
AND,Andorra,77006,67813
AGO,Angola,30809762,20184707
ATG,Antigua and Barbuda,96286,23685
ARG,Argentina,44494502,40877099
ARM,Armenia,2951776,1864017
ABW,Aruba,105845,45948
AUS,Australia,24992369,21496436
AUT,Austria,8847037,5157557
AZE,Azerbaijan,9942334,5535892
BHS,"Bahamas, The",385640,320178
BHR,Bahrain,1569439,1401305
BGD,Bangladesh,161356039,59107944
BRB,Barbados,286641,89280
BLR,Belarus,9485386,7455039
BEL,Belgium,11422068,11193741
BLZ,Belize,383071,175155
BEN,Benin,11485048,5433806
BMU,Bermuda,63968,63968
BTN,Bhutan,754394,308509
BOL,Bolivia,11353142,7881919
BIH,Bosnia and Herzegovina,3323929,1603630
BWA,Botswana,2254126,1565400
BRA,Brazil,209469333,181335507
VGB,British Virgin Islands,29802,14222
BRN,Brunei Darussalam,428962,332999
BGR,Bulgaria,7024216,5268724
BFA,Burkina Faso,19751535,5798656
BDI,Burundi,11175378,1456375
CPV,Cabo Verde,543767,357429
KHM,Cambodia,16249798,3800503
CMR,Cameroon,25216237,14215401
CAN,Canada,37058856,30169985
CYM,Cayman Islands,64174,64174
CAF,Central African Republic,4666377,1930200
TCD,Chad,15477751,3569015
CHI,Channel Islands,170499,52708
CHL,Chile,18729160,16400002
CHN,China,1392730000,823827650
COL,Colombia,49648685,40105215
COM,Comoros,832322,241082
COD,"Congo, Dem. Rep.",84068091,37376673
COG,"Congo, Rep.",5244363,3509318
CRI,Costa Rica,4999441,3966556
CIV,Cote d'Ivoire,25069229,12729904
HRV,Croatia,4089400,2328791
CUB,Cuba,11338138,8734561
CUW,Curacao,159849,142497
CYP,Cyprus,1189265,794548
CZE,Czech Republic,10625695,7840913
DNK,Denmark,5797446,5094448
DJI,Djibouti,958920,745819
DMA,Dominica,71625,50483
DOM,Dominican Republic,10627165,8615868
ECU,Ecuador,17084357,10903407
EGY,"Egypt, Arab Rep.",98423595,42030812
SLV,El Salvador,6420744,4624412
GNQ,Equatorial Guinea,1308974,944333
ERI,Eritrea,..,..
EST,Estonia,1320884,909825
SWZ,Eswatini,1136191,270402
ETH,Ethiopia,109224559,22678295
FRO,Faroe Islands,48497,20400
FJI,Fiji,883483,496942
FIN,Finland,5518050,4711421
FRA,France,66987244,53887219
PYF,French Polynesia,277679,171700
GAB,Gabon,2119275,1893996
GMB,"Gambia, The",2280102,1397018
GEO,Georgia,3731000,2187560
DEU,Germany,82927922,64113235
GHA,Ghana,29767108,16687441
GIB,Gibraltar,33718,33718
GRC,Greece,10727668,8481080
GRL,Greenland,56025,48639
GRD,Grenada,111454,40427
GUM,Guam,165768,157115
GTM,Guatemala,17247807,8805695
GIN,Guinea,12414318,4486535
GNB,Guinea-Bissau,1874309,812700
GUY,Guyana,779004,207262
HTI,Haiti,11123176,6148669
HND,Honduras,9587522,5474092
HKG,"Hong Kong SAR, China",7451000,7451000
HUN,Hungary,9768785,6970126
ISL,Iceland,353574,331698
IDN,Indonesia,267663435,148084795
IRN,"Iran, Islamic Rep.",81800269,61266765
IRQ,Iraq,38433600,27085311
IRL,Ireland,4853506,3065960
IMN,Isle of Man,84077,44214
ISR,Israel,8883800,8210230
JAM,Jamaica,2934855,1633951
JPN,Japan,126529100,115920900
JOR,Jordan,9956011,9057879
KAZ,Kazakhstan,18276499,10495828
KEN,Kenya,51393010,13891531
KIR,Kiribati,115847,62623
PRK,"Korea, Dem. People’s Rep.",25549819,15815082
KOR,"Korea, Rep.",51635256,42061563
XKX,Kosovo,1845300,..
KWT,Kuwait,4137309,4137309
KGZ,Kyrgyz Republic,6315800,2295856
LAO,Lao PDR,7061507,2471810
LVA,Latvia,1926542,1312784
LBN,Lebanon,6848925,6067668
LSO,Lesotho,2108132,593502
LBR,Liberia,4818977,2464955
LBY,Libya,6678567,5349666
LIE,Liechtenstein,37910,5436
LTU,Lithuania,2789533,1887928
LUX,Luxembourg,607728,552917
MAC,"Macao SAR, China",631636,631636
MDG,Madagascar,26262368,9767237
MWI,Malawi,18143315,3072933
MYS,Malaysia,31528585,23973075
MDV,Maldives,515696,205288
MLI,Mali,19077690,8080546
MLT,Malta,483530,457477
MHL,Marshall Islands,58413,44996
MRT,Mauritania,4403319,2363349
MUS,Mauritius,1265303,516155
MEX,Mexico,126190788,101149488
FSM,"Micronesia, Fed. Sts.",112640,25573
MDA,Moldova,3545883,1511574
MCO,Monaco,38682,38682
MNG,Mongolia,3170208,2169849
MNE,Montenegro,622345,415807
MAR,Morocco,36029138,22501278
MOZ,Mozambique,29495962,10615007
MMR,Myanmar,53708395,16423490
NAM,Namibia,2448255,1224911
NRU,Nauru,12704,12704
NPL,Nepal,28087871,5544546
NLD,Netherlands,17231017,15764657
NCL,New Caledonia,284060,200782
NZL,New Zealand,4885500,4227814
NIC,Nicaragua,6465513,3783748
NER,Niger,22442948,3686254
NGA,Nigeria,195874740,98611179
MKD,North Macedonia,2082958,1207345
MNP,Northern Mariana Islands,56882,52114
NOR,Norway,5314336,4370935
OMN,Oman,4829483,4082797
PAK,Pakistan,212215030,77810763
PLW,Palau,17907,14313
PAN,Panama,4176873,2828119
PNG,Papua New Guinea,8606316,1133366
PRY,Paraguay,6956071,4283896
PER,Peru,31989256,24921870
PHL,Philippines,106651922,50027217
POL,Poland,37978548,22809156
PRT,Portugal,10281762,6704840
PRI,Puerto Rico,3195153,2989960
QAT,Qatar,2781677,2757615
ROU,Romania,19473936,10515536
RUS,Russian Federation,144478050,107539347
RWA,Rwanda,12301939,2117287
WSM,Samoa,196130,35780
SMR,San Marino,33785,32848
STP,Sao Tome and Principe,211028,153635
SAU,Saudi Arabia,33699947,28255384
SEN,Senegal,15854360,7481990
SRB,Serbia,6982084,3916391
SYC,Seychelles,96762,54855
SLE,Sierra Leone,7650154,3217272
SGP,Singapore,5638676,5638676
SXM,Sint Maarten (Dutch part),40654,40654
SVK,Slovak Republic,5447011,2926461
SVN,Slovenia,2067372,1127565
SLB,Solomon Islands,652858,155047
SOM,Somalia,15008154,6749317
ZAF,South Africa,57779622,38339668
SSD,South Sudan,10975920,2152927
ESP,Spain,46723749,37528982
LKA,Sri Lanka,21670000,4003749
KNA,St. Kitts and Nevis,52441,16139
LCA,St. Lucia,181889,33973
MAF,St. Martin (French part),37264,..
